source;target_url;relation;target_id
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-recorder;extension;be-ext-recorder
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-vaccination-status-reason;Bound_Req;be-vs-vaccination-status-reason
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-vaccination-administration-route;Bound_Req;be-vs-vaccination-administration-route
eagreementproductorservice;http://www.mycarenet.be/fhir/CodeSystem/nihdi-physiotherapy-pathologysituationcode;valuesFrom;
be-vs-bodysite;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-bodysite;valuesFrom;be-cs-bodysite
be-vs-care-location;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-care-location;valuesFrom;be-cs-care-location
be-vs-diarytopic;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-diarytopic;valuesFrom;be-cs-diarytopic
be-vs-patientwill-category;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-patientwill-category;valuesFrom;be-cs-patientwill-category
be-vs-patientwill-code;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-patientwill-code;valuesFrom;be-cs-patientwill-code
be-vs-problem-category;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-problem-category;valuesFrom;be-cs-problem-category
be-vs-problem-origin-type;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-problem-origin-type;valuesFrom;be-cs-problem-origin-type
be-vs-score;http://snomed.info/sct;valuesFrom;
be-vs-score;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-score;valuesFrom;be-cs-score
be-vs-scorecategory;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-score-category;valuesFrom;be-cs-score-category
be-vs-vaccination-administration-route;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-vaccination-administration-route;valuesFrom;be-cs-vaccination-administration-route
be-vs-vaccination-administration-route;http://terminology.hl7.org/CodeSystem/v3-NullFlavor;valuesFrom;
be-vs-vaccination-confirmation-status;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-vaccination-confirmation-status;valuesFrom;be-cs-vaccination-confirmation-status
be-vs-vaccination-status-reason;https://www.ehealth.fgov.be/standards/fhir/CodeSystem/be-cs-vaccination-status-reason;valuesFrom;be-cs-vaccination-status-reason
be-vs-vaccination-status-reason;http://terminology.hl7.org/CodeSystem/v3-ActReason;valuesFrom;
be-allergyintolerancecode;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-causativeagent;includes;be-causativeagent
be-allergyintolerancecode;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-noallergy;includes;be-noallergy
be-vs-laterality;http://hl7.org/fhir/ValueSet/bodystructure-relative-location;includes;
be-address;http://hl7.org/fhir/StructureDefinition/language;extension;
be-address;http://hl7.org/fhir/ValueSet/address-use;Bound_Req;
be-address;http://hl7.org/fhir/ValueSet/address-type;Bound_Req;
be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-streetName;extension;
be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-houseNumber;extension;
be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-postBox;extension;
be-address;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-ext-laterality;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-laterality;Bound_Req;be-vs-laterality
be-ext-problem-origin-type;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-problem-origin-type;Bound_Req;be-vs-problem-origin-type
be-ext-vaccination-confirmationStatus;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-vaccination-confirmation-status;Bound_Req;be-vs-vaccination-confirmation-status
be-ext-vaccination-location;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-care-location;Bound_Pref;be-vs-care-location
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-allergyintolerance;http://hl7.org/fhir/StructureDefinition/Encounter;references;
be-allergyintolerance;http://hl7.org/fhir/StructureDefinition/Practitioner;references;
be-allergyintolerance;http://hl7.org/fhir/StructureDefinition/PractitionerRole;references;
be-allergyintolerance;http://hl7.org/fhir/StructureDefinition/Patient;references;
be-allergyintolerance;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-observation;http://hl7.org/fhir/StructureDefinition/CarePlan;references;
be-observation;http://hl7.org/fhir/StructureDefinition/DeviceRequest;references;
be-observation;http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation;references;
be-observation;http://hl7.org/fhir/StructureDefinition/MedicationRequest;references;
be-observation;http://hl7.org/fhir/StructureDefinition/NutritionOrder;references;
be-observation;http://hl7.org/fhir/StructureDefinition/ServiceRequest;references;
be-observation;http://hl7.org/fhir/StructureDefinition/MedicationAdministration;references;
be-observation;http://hl7.org/fhir/StructureDefinition/MedicationDispense;references;
be-observation;http://hl7.org/fhir/StructureDefinition/MedicationStatement;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Procedure;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Immunization;references;
be-observation;http://hl7.org/fhir/StructureDefinition/ImagingStudy;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Group;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Device;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Location;references;
be-observation;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-observation;http://hl7.org/fhir/StructureDefinition/Resource;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Encounter;references;
be-observation;http://hl7.org/fhir/StructureDefinition/CareTeam;references;
be-observation;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-observation;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-observation;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-observation;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-observation;http://hl7.org/fhir/StructureDefinition/Specimen;references;
be-observation;http://hl7.org/fhir/StructureDefinition/DeviceMetric;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Observation;references;
be-observation;http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse;references;
be-observation;http://hl7.org/fhir/StructureDefinition/MolecularSequence;references;
be-observation;http://hl7.org/fhir/StructureDefinition/DocumentReference;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Media;references;
be-organization;http://hl7.org/fhir/StructureDefinition/Organization;references;
be-organization;http://hl7.org/fhir/StructureDefinition/Endpoint;references;
be-patient;http://hl7.org/fhir/StructureDefinition/Organization;references;
be-patient;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-patient;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-patient;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-patient;http://hl7.org/fhir/StructureDefinition/Patient;references;
be-patient;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-practitioner;http://hl7.org/fhir/StructureDefinition/Organization;references;
be-practitionerrole;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-practitionerrole;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-practitionerrole;http://hl7.org/fhir/StructureDefinition/Location;references;
be-practitionerrole;http://hl7.org/fhir/StructureDefinition/HealthcareService;references;
be-practitionerrole;http://hl7.org/fhir/StructureDefinition/Endpoint;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Resource;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Location;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Practitioner;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/PractitionerRole;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Patient;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Device;references;
be-provenance;http://hl7.org/fhir/StructureDefinition/Organization;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Patient;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Practitioner;references;
be-observation;http://hl7.org/fhir/StructureDefinition/PractitionerRole;references;
be-observation;http://hl7.org/fhir/StructureDefinition/Organization;references;
be-ext-administeredProduct;http://hl7.org/fhir/StructureDefinition/Medication;references;
be-ext-recorder;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-ext-recorder;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-ext-recorder;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-ext-vaccination-location;http://hl7.org/fhir/StructureDefinition/Location;references;
be-ext-vaccination-location;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-ext-vaccination-originalorder;http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation;references;
be-ext-vaccination-originalorder;http://hl7.org/fhir/StructureDefinition/MedicationRequest;references;
be-ext-vaccination-originalorder;http://hl7.org/fhir/StructureDefinition/CarePlan;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-addiction;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-communication;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-communication;http://hl7.org/fhir/StructureDefinition/Group;references;
be-communication;http://hl7.org/fhir/StructureDefinition/Device;references;
be-communication;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-communication;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-communication;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-communication;http://hl7.org/fhir/StructureDefinition/CareTeam;references;
be-communication;http://hl7.org/fhir/StructureDefinition/HealthcareService;references;
be-communication;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/PlanDefinition;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Questionnaire;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Measure;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/ActivityDefinition;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/OperationDefinition;references;
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-homecare-plan;references;be-homecare-plan
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Encounter;references;
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-homecare-plan;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-homecare-team;references;be-homecare-team
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Condition;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Resource;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Goal;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Appointment;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/CommunicationRequest;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/DeviceRequest;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/MedicationRequest;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/NutritionOrder;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Task;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/ServiceRequest;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/VisionPrescription;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/RequestGroup;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Observation;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/DiagnosticReport;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/DocumentReference;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Location;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Medication;references;
be-homecare-plan;http://hl7.org/fhir/StructureDefinition/Substance;references;
be-homecare-team;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-homecare-team;http://hl7.org/fhir/StructureDefinition/Encounter;references;
be-homecare-team;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-homecare-team;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-homecare-team;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-homecare-team;references;be-homecare-team
be-homecare-team;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-homecare-team;http://hl7.org/fhir/StructureDefinition/Condition;references;
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-patientwill;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-patientwill;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-problem;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-problem;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-problem;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-problem;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-scoreresult;http://hl7.org/fhir/StructureDefinition/Group;references;
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-scoreresult;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-organization;references;be-organization
be-vaccination;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
